strain_name	peptide_count	taxonomy
Natrinema pellirubrum DSM 15624	4199	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrinema;Natrinema pellirubrum DSM 15624
Natronobacterium AS-7091	2	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronobacterium;Natronobacterium AS-7091
Natronobacterium gregoryi SP2	3656	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronobacterium;Natronobacterium gregoryi SP2
Natronococcus occultus SP4	4304	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronococcus;Natronococcus occultus SP4
Natronomonas moolapensis 8.8.11	2749	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas;Natronomonas moolapensis 8.8.11
Natronomonas pharaonis DSM 2160	2819	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas;Natronomonas pharaonis DSM 2160
Salinarchaeum Harcht-Bsk1	3013	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Salinarchaeum;Salinarchaeum Harcht-Bsk1
Methanobacterium AL-21	2492	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium AL-21
Methanobacterium SWAN-1	2397	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium SWAN-1
Methanobrevibacter AbM4	1671	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter AbM4
Methanobrevibacter ruminantium M1	2217	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter ruminantium M1
Methanobrevibacter smithii ATCC 35061	1793	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii ATCC 35061
Methanobrevibacter smithii DSM 2374	1710	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii DSM 2374
Methanobrevibacter smithii DSM 2375	1709	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii DSM 2375
Methanosphaera stadtmanae DSM 3091	1535	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera stadtmanae DSM 3091
Methanothermobacter marburgensis str. Marburg	1757	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;Methanothermobacter marburgensis str. Marburg
Methanothermobacter thermautotrophicus ZH3	34	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;Methanothermobacter thermautotrophicus ZH3
Methanothermobacter thermautotrophicus str. Delta H	1873	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;Methanothermobacter thermautotrophicus str. Delta H
Methanothermus fervidus DSM 2088	1303	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;Methanothermus fervidus DSM 2088
Methanocaldococcus FS406-22	1816	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus FS406-22
Methanocaldococcus fervens AG86	1581	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus fervens AG86
Methanocaldococcus infernus ME	1441	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus infernus ME
Methanocaldococcus jannaschii DSM 2661	1771	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus jannaschii DSM 2661
Methanocaldococcus vulcanius M7	1742	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus vulcanius M7
Methanotorris igneus Kol 5	1772	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris;Methanotorris igneus Kol 5
Methanococcus aeolicus Nankai-3	1490	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus aeolicus Nankai-3
Methanococcus maripaludis C5	1822	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis C5
Methanococcus maripaludis C6	1826	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis C6
Methanococcus maripaludis C7	1788	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis C7
Methanococcus maripaludis S2	1722	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis S2
Methanococcus maripaludis XI	1848	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis XI
Methanococcus vannielii SB	1678	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus vannielii SB
Methanococcus voltae A3	1717	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus voltae A3
Methanothermococcus okinawensis IH1	1595	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;Methanothermococcus okinawensis IH1
Methanocella arvoryzae MRE50	3089	Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella arvoryzae MRE50
Methanocella conradii HZ254	2455	Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella conradii HZ254
Methanocella paludicola SANAE	3004	Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella paludicola SANAE
Methanocorpusculum labreanum Z	1741	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;Methanocorpusculum labreanum Z
Methanoculleus bourgensis MS2	2619	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus bourgensis MS2
Methanoculleus marisnigri JR1	2490	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus marisnigri JR1
Methanofollis liminatans DSM 4140	6273	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;Methanofollis liminatans DSM 4140
Methanoplanus limicola DSM 2279	3064	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;Methanoplanus limicola DSM 2279
